student_id,study_hours,practice_score,attendance,sleep_hours,prior_level,result_class
S2569,7.2,95.2,87.9,6.2,low,2
S2570,0.7,52.3,82.2,8.0,mid,0
S2571,3.5,75.4,62.6,5.9,low,0
S2572,8.3,57.9,57.8,7.4,high,2
S2573,5.5,49.0,76.9,6.9,mid,1
S2574,2.6,90.1,94.6,7.1,mid,1
S2575,2.5,54.3,68.7,7.4,mid,0
S2576,7.4,75.2,93.4,5.2,high,2
S2577,3.3,83.0,75.8,6.1,mid,1
S2578,4.2,88.9,86.5,6.3,low,1
S2579,1.3,84.7,87.0,5.3,low,0
S2580,2.4,74.1,63.2,5.4,low,0
S2581,3.9,78.7,66.8,7.8,mid,0
S2582,7.8,53.8,79.5,5.4,mid,1
S2583,6.7,66.3,81.6,7.2,mid,1
S2584,0.5,27.7,97.8,8.1,low,0
S2585,5.1,94.2,88.6,6.5,mid,2
S2586,2.0,40.7,68.7,6.0,mid,0
S2587,5.5,59.8,91.9,5.6,mid,0
S2588,1.6,62.7,83.2,8.5,low,0
S2589,7.3,65.1,88.2,6.6,low,1
S2590,7.5,72.5,78.6,5.6,low,2
S2591,5.0,55.7,57.6,6.1,high,1
S2592,1.7,87.2,78.4,5.1,high,2
S2593,7.6,71.9,58.0,6.2,high,2
S2594,1.1,44.8,59.0,3.5,mid,0
S2595,5.3,77.3,87.4,7.3,mid,2
S2596,5.2,89.9,85.7,8.2,mid,2
S2597,7.9,49.8,76.6,6.8,mid,1
S2598,6.2,66.7,71.5,7.0,high,2
S2599,6.9,99.8,80.1,6.7,mid,2
S2600,0.5,54.3,86.8,6.6,high,0
S2601,4.6,90.4,92.3,7.8,low,2
S2602,2.7,100.0,80.3,8.4,mid,2
S2603,1.1,52.6,72.5,7.9,mid,0
S2604,4.0,76.6,68.7,6.6,low,0
S2605,1.3,93.6,92.9,3.8,high,2
S2606,3.8,61.7,73.7,7.6,high,2
S2607,8.4,78.8,64.1,6.2,low,2
S2608,1.5,66.5,90.5,7.2,low,0
S2609,3.3,48.4,97.3,6.5,high,1
S2610,6.9,77.0,89.8,6.1,high,2
S2611,6.2,52.8,69.3,5.2,high,2
S2612,7.2,69.7,97.5,5.2,low,1
S2613,6.5,79.2,74.5,7.0,low,1
S2614,7.9,85.2,79.4,6.9,mid,2
S2615,3.4,91.1,75.9,6.3,mid,0
S2616,5.6,83.4,77.6,6.1,high,2
S2617,6.3,49.8,70.2,6.2,low,1
S2618,6.3,33.4,67.2,5.6,low,0
S2619,2.5,54.9,74.2,5.1,mid,0
S2620,1.4,61.5,61.8,4.3,mid,1
S2621,3.4,51.1,81.2,7.2,mid,0
S2622,6.8,72.0,86.5,7.4,high,2
S2623,6.2,39.2,83.5,7.6,mid,1
S2624,1.1,70.7,82.7,8.1,high,1
S2625,7.0,94.5,64.6,6.4,mid,2
S2626,7.5,76.1,98.8,7.8,low,2
S2627,7.9,69.6,86.2,6.8,low,1
S2628,3.4,78.4,65.5,7.3,high,1
S2629,5.8,82.6,76.5,6.6,mid,2
