order_id,order_date,distance_km,weight_kg,package_type,traffic,weather,delivery_time_min
O50433,2026-07-26,35.2,2.6,large,medium,rain,64.5
O50434,2025-11-22,87.8,59.0,medium,high,snow,175.2
O50435,2025-08-15,68.0,30.2,large,high,clear,103.6
O50436,2025-03-01,95.4,21.3,small,medium,rain,114.4
O50437,2026-02-02,133.6,4.6,large|fragile,medium,clear,126.6
O50438,2025-09-29,28.3,9.9,small,low,clear,47.8
O50439,2025-12-21,95.9,14.0,medium,low,clear,78.6
O50440,2025-08-12,173.0,34.9,medium,medium,clear,155.0
O50441,2026-02-28,75.8,14.9,medium,medium,clear,85.4
O50442,2025-07-30,151.0,9.0,small|fragile,low,snow,167.2
O50443,2025-01-25,117.8,4.7,small,medium,clear,110.1
O50444,2026-03-30,107.7,6.2,medium|fragile,low,rain,106.0
O50445,2025-08-23,76.8,9.5,medium|fragile,low,rain,102.8
O50446,2026-03-21,33.1,10.0,small|fragile,low,clear,61.2
O50447,2026-04-05,90.6,17.3,medium,medium,clear,88.4
O50448,2025-05-18,178.9,7.8,small,low,clear,127.0
O50449,2026-03-25,19.9,18.9,,medium,clear,81.2
O50450,2025-07-15,53.3,8.8,small,medium,rain,77.1
O50451,2025-04-12,70.8,7.0,medium|fragile,medium,clear,95.5
O50452,2025-08-07,39.1,9.1,small,low,clear,50.4
O50453,2025-03-05,94.7,17.5,small,high,rain,135.7
O50454,2025-08-26,77.6,19.3,small,medium,clear,90.9
O50455,2026-02-23,138.3,2.1,medium,high,rain,120.7
O50456,2025-09-11,74.0,8.3,medium,medium,clear,87.7
O50457,2026-07-01,54.6,9.9,small|fragile,medium,clear,80.6
O50458,2026-05-13,4.7,2.0,large|fragile,medium,rain,70.6
O50459,2025-08-16,7.6,10.9,small|fragile,low,clear,56.7
O50460,2026-07-27,14.6,13.4,medium,high,clear,55.2
O50461,2026-06-10,36.1,20.3,small|fragile,medium,clear,92.9
O50462,2026-02-03,53.7,12.3,small,low,clear,70.4
O50463,2025-06-21,7.3,10.3,large,medium,rain,53.5
O50464,2025-06-07,17.7,15.1,medium,medium,clear,42.1
O50465,2026-08-15,68.7,10.1,medium,medium,clear,71.8
O50466,2026-07-12,131.2,31.5,medium|fragile,medium,clear,161.7
O50467,2026-05-16,32.5,16.9,small|fragile,medium,clear,83.7
O50468,2025-06-26,58.6,6.9,small,medium,clear,64.0
O50469,2025-02-22,44.7,20.1,medium,medium,clear,84.6
O50470,2026-01-10,128.6,13.0,small,medium,clear,116.8
O50471,2025-02-14,19.0,6.1,small|fragile,low,clear,71.0
O50472,2026-02-11,52.2,21.7,large,low,clear,90.5
O50473,2025-03-07,85.4,22.3,medium|fragile,medium,clear,123.1
O50474,2026-03-22,29.2,5.9,small|fragile,medium,clear,76.7
O50475,2026-03-17,14.5,11.8,medium,medium,clear,52.8
O50476,2026-01-09,163.0,7.9,large|fragile,low,clear,145.3
O50477,2026-02-26,21.6,8.2,small|fragile,high,clear,68.6
O50478,2025-02-15,100.0,14.0,medium,medium,rain,108.0
O50479,2026-02-05,94.0,40.9,medium,medium,clear,122.4
O50480,2025-09-11,178.0,31.4,medium|fragile,medium,clear,179.5
O50481,2025-08-02,112.7,28.3,medium,high,rain,136.6
O50482,2025-04-07,172.2,7.4,small,low,rain,125.5
O50483,2025-01-23,75.8,1.1,medium,medium,snow,97.9
O50484,2025-10-27,177.7,21.2,small|fragile,high,clear,162.1
O50485,2026-07-29,133.6,42.7,medium,medium,clear,155.3
O50486,2025-05-17,159.6,3.4,medium,medium,clear,123.6
O50487,2026-08-14,30.4,19.3,small,low,clear,60.2
O50488,2025-01-11,5.0,5.4,large,medium,clear,22.9
O50489,2026-04-24,122.4,28.6,large|fragile,medium,clear,142.8
O50490,2025-11-19,141.7,51.7,small|fragile,medium,clear,171.8
O50491,2025-09-25,132.5,12.3,small,low,clear,108.0
O50492,2025-03-11,124.6,8.4,small|fragile,high,clear,142.5
O50493,2026-08-17,53.5,7.6,medium,medium,clear,71.8
O50494,2026-06-21,15.3,4.8,medium|fragile,medium,clear,35.9
O50495,2025-07-07,12.1,20.1,medium,low,clear,47.4
O50496,2025-12-17,33.5,5.0,medium,low,clear,36.8
O50497,2026-04-21,102.9,21.8,medium,medium,clear,109.7
O50498,2025-08-07,159.4,35.3,small,low,rain,167.3
O50499,2025-10-02,143.6,21.5,medium,medium,rain,141.3
O50500,2026-05-12,54.0,9.4,medium,medium,clear,42.5
O50501,2025-05-26,164.2,2.4,medium,medium,rain,133.0
O50502,2025-06-24,77.1,3.1,small,low,clear,71.7
O50503,2025-12-14,46.6,41.9,small|fragile,medium,clear,117.1
O50504,2025-07-01,156.1,17.8,small,low,rain,144.4
O50505,2026-06-04,30.2,12.1,medium|fragile,medium,clear,63.8
O50506,2025-04-03,56.3,3.4,large|fragile,medium,clear,91.7
O50507,2026-06-05,78.5,20.4,large|fragile,medium,clear,93.6
O50508,2025-02-13,39.5,19.9,large,low,clear,70.3
O50509,2025-09-27,150.4,12.4,small|fragile,medium,clear,161.8
O50510,2025-03-24,134.3,18.8,small,medium,clear,112.5
O50511,2025-09-28,146.7,25.5,small,high,clear,141.1
O50512,2025-01-12,58.5,6.2,medium,high,clear,86.0
O50513,2026-07-03,112.6,14.1,large|fragile,medium,clear,122.2
O50514,2026-01-10,79.2,12.7,medium|fragile,medium,rain,103.1
O50515,2025-04-10,161.6,27.9,medium,high,rain,166.1
O50516,2025-06-23,68.3,63.1,small|fragile,medium,clear,149.6
O50517,2025-05-05,178.5,12.0,large,high,rain,138.2
O50518,2025-07-10,82.2,13.0,medium,medium,clear,90.9
O50519,2025-10-01,35.0,3.9,small,medium,clear,63.2
O50520,2025-10-01,144.5,5.2,large|fragile,high,clear,145.0
O50521,2025-07-12,24.4,11.0,large|fragile,medium,rain,79.4
O50522,2025-02-22,29.0,14.9,medium|fragile,low,clear,71.1
O50523,2026-04-08,38.9,15.2,large|fragile,low,rain,95.7
O50524,2025-04-24,45.8,7.0,small,medium,clear,61.2
O50525,2025-01-23,137.7,17.5,medium|fragile,medium,clear,153.6
O50526,2025-11-13,107.2,19.9,medium|fragile,low,clear,110.6
O50527,2025-05-19,17.4,6.1,large,medium,clear,49.6
O50528,2025-07-13,143.2,17.8,medium,low,clear,116.0
O50529,2025-03-07,116.8,21.6,large,high,clear,138.7
O50530,2025-07-14,62.8,19.0,large,high,clear,87.0
O50531,2026-06-03,136.6,11.4,medium,high,rain,139.7
O50532,2026-08-23,75.1,27.4,large,low,clear,95.0
O50533,2026-07-27,34.3,37.0,medium|fragile,medium,clear,116.4
O50534,2026-03-19,17.5,19.2,large,medium,rain,58.1
O50535,2026-01-26,35.2,8.0,large,high,clear,57.8
O50536,2026-06-15,3.3,37.8,medium,medium,clear,68.8
O50537,2025-02-15,64.3,5.8,medium|fragile,high,rain,120.9
O50538,2025-08-08,109.7,6.1,medium,low,clear,88.5
O50539,2026-04-14,5.9,,medium,medium,clear,37.8
O50540,2025-05-16,117.0,28.1,medium,medium,rain,137.1
O50541,2026-01-24,11.8,15.4,medium,medium,clear,52.5
O50542,2026-08-19,146.8,7.6,large,high,clear,134.0
O50543,2026-08-08,62.0,2.2,large,high,clear,72.1
O50544,2025-04-27,102.3,7.8,small,medium,clear,91.0
O50545,2025-05-26,113.0,8.2,medium|fragile,medium,clear,112.4
O50546,2026-08-15,102.4,5.1,large,low,snow,111.6
O50547,2026-03-11,65.9,7.7,large|fragile,high,snow,127.0
O50548,2025-09-13,137.1,6.4,small|fragile,medium,clear,134.7
O50549,2026-01-27,178.5,9.1,medium,high,clear,161.1
O50550,2025-07-03,30.0,13.3,medium,low,clear,55.2
O50551,2026-01-31,28.2,25.2,large,low,clear,80.6
O50552,2025-02-28,91.0,24.8,small,low,snow,123.1
O50553,2025-07-02,10.2,6.5,medium,low,rain,49.2
O50554,2025-07-29,35.0,8.0,small,high,rain,66.3
O50555,2026-02-11,93.3,13.6,large,high,rain,116.6
O50556,2026-07-20,168.0,7.2,medium|fragile,medium,rain,147.4
O50557,2025-04-22,85.2,9.8,medium,medium,clear,99.6
O50558,2026-01-20,41.8,15.2,large,low,clear,38.2
O50559,2026-07-17,138.4,37.7,large|fragile,medium,clear,156.2
