customer_id,signup_date,age,monthly_fee,tenure_months,support_calls,contract_type,payment_method,region,avg_usage_hours,late_payments,churn
CUST_1310,2023-02-15,21,116.31,41,6,monthly,bank_transfer,Seoul,1.69,0,1
CUST_1311,2025-07-23,53,74.82,12,2,one_year,bank_transfer,Daejeon,7.64,1,0
CUST_1312,2024-06-07,32,51.88,25,3,monthly,bank_transfer,Daegu,4.44,3,0
CUST_1313,2024-12-23,47,94.99,19,1,one_year,mobile,Daegu,3.88,2,0
CUST_1314,2022-12-09,44,69.44,43,4,monthly,mobile,Daejeon,4.2,4,0
CUST_1315,2024-09-30,36,77.0,22,6,monthly,bank_transfer,Busan,3.58,0,0
CUST_1316,2025-04-22,34,66.7,15,1,monthly,mobile,Gwangju,1.88,0,1
CUST_1317,2022-08-10,39,63.72,47,1,monthly,mobile,Daejeon,3.16,0,0
CUST_1318,2022-01-20,35,94.94,54,1,one_year,bank_transfer,Daejeon,3.65,1,0
CUST_1319,2022-08-30,36,101.32,47,0,one_year,bank_transfer,Daegu,,0,0
CUST_1320,2024-10-13,56,50.7,21,0,monthly,card,Seoul,4.95,2,1
CUST_1313,2024-12-23,47,94.99,19,1,one_year,mobile,Daegu,3.88,2,0
CUST_1195,2023-03-30,40,63.39,40,0,one_year,mobile,Busan,4.06,1,0
CUST_1184,2025-01-05,36,73.5,18,5,one_year,,Daejeon,4.37,0,0
CUST_1314,2022-12-09,44,69.44,43,4,monthly,mobile,Daejeon,4.2,4,0
CUST_1015,2022-05-12,32,89.67,50,2,monthly,card,Busan,5.99,1,0
