customer_id,signup_date,age,region,plan_type,monthly_fee,tenure_months,data_usage_gb,support_calls,late_payments,payment_method,device_type,discount_applied,churn
CUS-10269,2022-04-15,61,Seoul,Premium,86554,52,72.9,3,1,Card,iOS,No,1
CUS-10270,2024-03-31,30,Seoul,Basic,40342,28,38.5,4,0,Card,Android,No,0
CUS-10271,2022-03-07,32,Seoul,Basic,42874,53,35.6,5,0,Card,iOS,No,0
CUS-10272,2023-06-03,67,Seoul,Premium,73811,38,49.9,0,4,MobilePay,Android,No,0
CUS-10273,2023-03-16,22,Daejeon,Premium,74937,41,76.3,2,4,BankTransfer,Android,No,1
CUS-10274,2021-12-20,51,Incheon,Standard,62923,56,28.5,3,1,MobilePay,Android,No,0
CUS-10275,2022-01-14,58,Seoul,Premium,78449,55,64.1,5,2,MobilePay,Android,Yes,0
CUS-10276,2024-12-06,73,Seoul,Basic,39161,20,24.1,3,1,BankTransfer,Android,No,0
CUS-10277,2023-02-06,56,Incheon,Standard,61948,42,51.7,1,1,AutoDebit,Android,No,0
CUS-10278,2020-08-27,22,Busan,Basic,41728,72,50.0,0,4,AutoDebit,iOS,No,0
CUS-10279,2025-12-30,62,Incheon,Standard,62722,7,50.6,7,0,MobilePay,Android,No,1
CUS-10280,2024-12-15,74,Busan,Basic,42745,19,6.0,4,2,BankTransfer,iOS,Yes,0
CUS-10281,2026-02-24,,Daejeon,Standard,51696,5,96.4,1,1,MobilePay,iOS,No,0
CUS-10282,2023-11-25,,Busan,Basic,25190,32,16.9,8,0,BankTransfer,iOS,No,0
CUS-10283,2024-11-14,47,Daegu,Basic,32876,20,1.0,7,1,MobilePay,Android,No,0
CUS-10284,2026-04-18,64,Busan,Basic,29143,3,43.8,5,1,AutoDebit,Android,No,1
CUS-10285,2023-12-26,69,Daegu,Basic,34569,31,,5,0,Card,iOS,No,0
CUS-10286,2021-05-15,19,Busan,Standard,59630,63,45.3,1,0,BankTransfer,Android,Yes,0
CUS-10287,2024-01-04,64,Daejeon,Standard,61997,31,57.8,6,2,MobilePay,iOS,Yes,1
CUS-10288,2022-05-14,65,Incheon,Standard,56556,51,82.6,5,0,BankTransfer,Android,No,0
CUS-10289,2025-04-11,,Busan,Standard,48499,15,51.4,5,0,Card,Android,Yes,0
CUS-10290,2023-12-24,38,Incheon,Basic,33988,31,1.0,2,1,Card,Android,Yes,0
CUS-10291,2022-03-07,68,Seoul,Basic,25362,53,24.1,5,3,Card,iOS,No,1
CUS-10292,2020-12-19,49,Seoul,Basic,27723,68,1.0,5,0,MobilePay,Android,No,0
CUS-10293,2026-06-20,30,Busan,Basic,39368,1,33.3,6,3,MobilePay,iOS,No,1
CUS-10294,2022-02-18,29,Incheon,Standard,52896,54,48.4,5,0,MobilePay,Android,Yes,0
CUS-10295,2025-06-25,71,Incheon,Basic,32845,13,,1,0,AutoDebit,Android,Yes,1
CUS-10296,2021-03-08,50,Seoul,Standard,63009,65,46.0,1,0,Card,iOS,Yes,0
CUS-10297,2025-01-23,49,Seoul,Basic,40275,18,36.2,7,2,BankTransfer,Android,No,0
CUS-10298,2024-08-17,,Daegu,Basic,30630,23,1.0,3,2,MobilePay,Android,No,0
CUS-10299,2024-03-29,68,Daegu,Premium,74237,28,92.4,3,0,AutoDebit,Android,No,0
CUS-10300,2025-09-16,65,Incheon,Standard,62085,10,11.7,7,0,BankTransfer,Android,No,1
CUS-10301,2026-03-30,62,Daejeon,Standard,54352,4,34.5,3,0,Card,Other,No,0
CUS-10302,2025-11-27,63,Busan,Basic,31399,8,25.4,4,0,,Android,Yes,0
CUS-10303,2024-08-08,28,Seoul,Standard,50142,24,13.7,4,1,AutoDebit,iOS,No,0
CUS-10304,2026-03-21,29,Seoul,Basic,39926,4,29.6,3,1,Card,Android,Yes,1
CUS-10305,2024-01-31,34,Seoul,Basic,25060,30,17.6,5,0,AutoDebit,iOS,Yes,0
CUS-10306,2023-09-17,36,Seoul,Basic,29429,34,31.4,1,2,Card,Android,Yes,0
CUS-10307,2023-05-06,43,Seoul,Basic,36996,39,,4,1,Card,Android,No,0
CUS-10308,2021-12-30,70,Seoul,Standard,53510,55,20.0,6,2,AutoDebit,Android,Yes,0
CUS-10309,2025-04-24,53,Busan,Basic,26887,15,9.7,4,0,Card,Other,No,0
CUS-10310,2024-09-12,50,Seoul,Basic,38284,22,24.1,2,0,Card,Android,No,0
CUS-10311,2024-06-28,27,Seoul,Basic,28746,25,1.0,5,1,Card,iOS,No,1
CUS-10312,2021-03-12,,Seoul,Standard,59188,65,20.5,6,0,BankTransfer,Android,No,1
CUS-10313,2026-06-25,,Busan,Standard,65670,1,70.8,3,0,Card,Android,No,1
CUS-10314,2024-09-06,,Busan,Basic,40735,23,1.0,7,0,AutoDebit,Android,No,1
CUS-10315,2026-04-25,59,Seoul,Basic,188000,3,34.2,4,0,AutoDebit,Android,No,0
CUS-10316,2025-03-25,65,Seoul,Standard,51578,16,49.0,3,3,Card,Android,Yes,0
CUS-10317,2025-09-10,33,Incheon,Basic,31447,10,1.0,1,0,MobilePay,Android,No,0
CUS-10318,2020-10-26,48,Busan,Basic,29029,70,14.6,5,0,Card,Android,Yes,0
CUS-10319,2023-04-14,62,Busan,Premium,75383,40,83.4,1,2,AutoDebit,Android,No,0
CUS-10320,2025-11-05,37,Busan,Premium,75754,8,84.0,4,1,BankTransfer,Android,No,0
CUS-10321,2026-02-11,61,Daejeon,Basic,231000,5,16.5,5,0,BankTransfer,Android,Yes,0
CUS-10322,2023-12-16,30,Daejeon,Basic,40540,31,1.0,0,0,AutoDebit,Android,No,0
CUS-10323,2022-02-15,45,Busan,Basic,28693,54,7.7,0,2,MobilePay,iOS,No,1
CUS-10324,2022-04-17,55,Incheon,Premium,77767,52,81.1,0,2,Card,Android,Yes,0
CUS-10325,2024-09-13,68,Incheon,Basic,30741,22,33.2,2,1,AutoDebit,Android,No,0
CUS-10326,2021-02-16,21,Incheon,Basic,28750,66,31.3,3,0,MobilePay,Android,Yes,1
CUS-10327,2025-05-19,41,Seoul,Basic,41907,14,22.2,3,1,AutoDebit,Android,Yes,0
CUS-10328,2023-02-04,67,Daejeon,Standard,65947,42,25.8,6,0,AutoDebit,Android,No,0
CUS-10329,2025-07-09,48,Seoul,Standard,60987,12,40.1,7,3,AutoDebit,Other,Yes,1
CUS-10330,2024-08-26,55,Daejeon,Standard,63213,23,22.6,0,3,,Android,No,1
CUS-10331,2024-06-21,43,Seoul,Basic,38230,25,16.1,2,1,BankTransfer,iOS,Yes,0
CUS-10332,2021-01-16,34,Seoul,Basic,42893,67,11.8,7,0,BankTransfer,iOS,Yes,0
CUS-10333,2021-08-27,46,Busan,Basic,27575,59,26.8,2,0,Card,iOS,No,0
CUS-10334,2026-06-05,56,Busan,Standard,48491,1,68.2,3,0,AutoDebit,Other,Yes,0
CUS-10335,2022-05-14,51,Busan,Standard,56098,51,26.8,6,0,BankTransfer,Android,No,0
CUS-10336,2021-11-21,28,Seoul,Basic,29888,57,38.0,3,0,Card,Android,No,0
CUS-10337,2021-08-17,52,Daegu,Basic,30180,60,33.6,2,0,Card,iOS,No,0
CUS-10338,2025-04-25,,Seoul,Basic,30778,15,11.3,5,0,Card,Android,Yes,0
CUS-10339,2022-09-30,45,Daegu,Standard,58549,46,57.5,3,0,Card,Android,No,0
CUS-10340,2022-07-28,74,Seoul,Premium,87421,48,76.8,2,1,Card,Android,No,0
CUS-10341,2026-03-14,31,Busan,Basic,40876,4,52.7,6,1,MobilePay,Android,No,0
CUS-10342,2022-07-07,47,Seoul,Standard,65189,49,46.7,3,0,Card,Android,No,0
CUS-10343,2025-08-18,49,Busan,Basic,26834,11,7.2,6,0,AutoDebit,Android,No,0
CUS-10344,2021-06-25,35,Seoul,Premium,85590,62,79.1,0,3,AutoDebit,iOS,No,0
CUS-10345,2023-08-03,33,Seoul,Standard,56128,36,49.8,3,0,MobilePay,Android,No,0
CUS-10346,2026-06-25,69,Seoul,Basic,27371,1,16.7,4,0,MobilePay,Android,No,1
CUS-10347,2021-07-20,22,Seoul,Basic,28308,61,34.8,6,1,AutoDebit,Android,No,0
CUS-10348,2022-09-07,42,Incheon,Premium,80726,47,104.6,2,0,BankTransfer,iOS,Yes,0
CUS-10349,2022-05-01,52,Seoul,Basic,39636,51,,5,1,AutoDebit,iOS,No,0
CUS-10350,2020-12-20,20,Daegu,Standard,56624,68,46.2,0,0,MobilePay,Android,No,0
CUS-10351,2025-04-11,23,Daegu,Standard,56372,15,57.8,5,1,AutoDebit,iOS,No,0
CUS-10352,2022-08-29,31,Seoul,Basic,38985,47,14.0,4,3,Card,Android,No,0
CUS-10353,2022-06-03,68,Daejeon,Basic,31261,50,16.0,5,2,AutoDebit,iOS,Yes,0
CUS-10354,2025-11-15,20,Seoul,Standard,48963,8,22.8,2,2,MobilePay,Android,No,0
CUS-10355,2020-11-04,51,Seoul,Premium,83349,69,95.6,0,0,AutoDebit,Android,Yes,0
CUS-10356,2024-10-17,33,Seoul,Basic,25627,21,36.7,4,2,BankTransfer,Android,No,0
CUS-10357,2024-09-30,35,Seoul,Standard,49188,22,41.3,0,1,Card,Android,No,0
CUS-10358,2022-04-29,72,Daejeon,Standard,62885,51,34.4,3,0,MobilePay,iOS,No,0
CUS-10359,2022-03-03,66,Busan,Basic,39971,53,39.9,3,0,MobilePay,Android,Yes,0
CUS-10360,2020-09-01,39,Seoul,Premium,82739,71,77.3,1,0,BankTransfer,Android,No,0
