ticket_id,created_at,customer_age,membership_tier,issue_type,contact_channel,region,monthly_spend,tenure_months,previous_tickets,avg_response_minutes,satisfaction_score,reopened_count,resolution_hours,priority
TK-260230,2026-03-18 09:00:00,48,Silver,Cancellation,Chat,Incheon,102595,1,3,59,3.4,1,4.8,Medium
TK-260231,2026-02-23 23:00:00,25,Gold,Cancellation,Phone,Busan,107552,60,0,121,3.2,0,11.0,High
TK-260232,2025-01-22 14:00:00,76,Silver,Delivery,Email,Seoul,71482,76,0,85,4.3,1,1.9,High
TK-260233,2025-05-23 13:00:00,63,Gold,Cancellation,Phone,Seoul,156293,80,0,98,4.3,1,4.4,Low
TK-260234,2025-04-23 07:00:00,68,Silver,Delivery,Email,Daejeon,92727,60,7,31,4.0,0,9.1,Low
TK-260235,2025-05-21 03:00:00,30,Gold,Delivery,Chat,Seoul,113663,37,5,40,4.0,0,6.2,Medium
TK-260236,2025-08-06 00:00:00,54,Silver,Delivery,Phone,Seoul,84311,12,3,102,4.6,0,5.5,Low
TK-260237,2026-05-20 23:00:00,23,Silver,Account,Chat,Daejeon,,92,5,54,5.0,0,4.1,Low
TK-260238,2026-05-24 21:00:00,64,Basic,Account,Phone,Busan,24130,36,3,28,3.2,0,6.1,Low
TK-260239,2025-11-11 23:00:00,43,Basic,Payment,App,Busan,64064,92,4,3,2.3,1,7.2,Medium
TK-260240,2025-01-03 04:00:00,39,Silver,Payment,Chat,Busan,75960,55,4,82,3.1,1,5.4,Low
TK-260241,2025-06-13 02:00:00,45,Silver,Cancellation,Chat,Daegu,56583,12,0,99,3.0,0,3.7,High
TK-260242,2025-06-22 01:00:00,60,Basic,Account,Chat,Daegu,27954,83,0,56,4.8,3,9.8,Low
TK-260243,2025-02-08 17:00:00,45,Basic,Technical,Chat,Busan,23339,30,2,57,4.4,0,3.3,Medium
TK-260244,2026-01-08 13:00:00,67,Basic,Technical,Phone,Daegu,43035,92,2,156,,0,3.5,Low
TK-260245,2025-01-13 21:00:00,40,Silver,Technical,App,Daejeon,97638,71,3,101,3.8,2,2.8,Low
TK-260246,2026-07-23 22:00:00,42,Basic,Delivery,App,Busan,60133,50,7,6,3.4,1,8.8,Medium
TK-260247,2026-06-25 03:00:00,33,Silver,Technical,Chat,Incheon,61257,2,3,82,4.0,4,7.6,Medium
TK-260248,2025-05-24 05:00:00,37,Silver,Delivery,Chat,Busan,99700,26,9,40,3.4,0,7.3,Medium
TK-260249,2025-09-15 09:00:00,54,Basic,Cancellation,Chat,Incheon,57146,66,0,32,2.2,0,14.3,Low
TK-260250,2025-05-22 01:00:00,36,Gold,Payment,Chat,Busan,108732,89,2,78,3.8,0,3.5,Medium
TK-260251,2026-04-01 23:00:00,64,Silver,Payment,Chat,Busan,74603,94,3,62,2.7,1,3.0,Medium
TK-260252,2026-01-06 08:00:00,54,Basic,Cancellation,Phone,Daegu,52248,2,5,108,4.9,1,6.8,Medium
TK-260253,2026-01-24 16:00:00,75,Basic,Delivery,Phone,Seoul,56027,44,1,98,4.0,2,6.7,Medium
TK-260254,2025-03-20 21:00:00,26,Gold,Technical,App,Incheon,122178,31,0,163,4.8,1,4.0,Medium
TK-260255,2025-07-06 05:00:00,36,Basic,Account,Chat,Seoul,42883,33,1,69,3.3,1,4.1,Medium
TK-260256,2026-06-15 14:00:00,71,Basic,Payment,Chat,Daegu,55414,54,7,40,4.6,1,11.4,Medium
TK-260257,2026-06-03 17:00:00,26,Basic,Technical,Email,Daejeon,52686,55,5,80,2.3,3,4.3,Low
TK-260258,2025-03-16 16:00:00,47,Silver,Payment,Phone,Incheon,84140,28,6,29,3.1,1,2.2,Medium
TK-260259,2025-06-27 08:00:00,18,Silver,Technical,Chat,Busan,99954,46,5,154,4.5,0,4.0,Low
TK-260260,2026-06-16 13:00:00,69,Silver,Account,Chat,Busan,59448,63,1,59,2.5,3,10.0,Low
TK-260261,2025-01-25 03:00:00,38,Gold,Technical,Chat,Daejeon,145724,67,7,103,5.0,0,9.4,Medium
TK-260262,2025-08-01 18:00:00,71,Gold,Delivery,Chat,Seoul,140362,46,2,51,4.0,0,9.9,Medium
TK-260263,2025-01-24 08:00:00,44,Basic,Delivery,Email,Busan,66817,27,4,22,4.2,2,8.1,Medium
TK-260264,2025-07-04 20:00:00,69,Basic,Technical,Email,Seoul,27154,25,4,30,3.3,0,4.1,Low
TK-260265,2025-03-04 19:00:00,37,Basic,Account,Chat,Seoul,40217,42,6,35,4.6,0,4.3,Medium
TK-260266,2026-03-18 00:00:00,68,Basic,Delivery,Email,Seoul,36898,82,6,35,4.3,1,7.6,Medium
TK-260267,2026-05-20 13:00:00,37,Basic,Account,Chat,Busan,38105,85,2,2,3.9,0,1.8,Medium
TK-260268,2025-04-18 17:00:00,37,Silver,Account,Email,Daejeon,56587,96,3,51,2.9,0,3.9,Medium
TK-260269,2026-06-25 03:00:00,67,Basic,Payment,Phone,Daejeon,30236,58,5,8,4.2,1,0.7,Medium
TK-260270,2025-05-02 15:00:00,44,Basic,Cancellation,Phone,Seoul,66609,25,1,58,4.4,0,11.7,Low
TK-260271,2026-03-08 20:00:00,28,Gold,Account,App,Busan,109538,92,0,2,4.6,0,4.7,Low
TK-260272,2025-11-25 02:00:00,29,Gold,Payment,Chat,Daegu,148435,4,4,9,2.8,0,4.4,Medium
TK-260273,2025-01-17 16:00:00,42,Basic,Delivery,Chat,Seoul,72600,81,0,115,2.7,0,7.2,Medium
TK-260274,2025-11-14 05:00:00,56,Basic,Payment,App,Daejeon,56039,72,0,79,3.0,0,9.1,Low
TK-260275,2026-05-11 09:00:00,24,Basic,Delivery,Chat,Incheon,30960,59,7,71,4.4,0,4.0,Medium
TK-260276,2025-10-09 19:00:00,73,Basic,Account,Phone,Busan,46293,62,0,84,3.4,3,4.0,Medium
TK-260277,2026-04-17 10:00:00,43,Basic,Account,Chat,Incheon,46341,22,2,21,5.0,0,9.6,Medium
TK-260278,2025-08-17 22:00:00,24,Basic,Delivery,Chat,Seoul,21525,95,9,97,4.6,1,5.6,Medium
TK-260279,2026-01-27 22:00:00,28,Gold,Technical,App,Seoul,126168,90,4,93,4.5,2,5.1,Medium
TK-260280,2025-11-23 10:00:00,69,Basic,Technical,Chat,Incheon,66504,58,2,60,4.4,0,3.8,High
TK-260281,2026-05-01 09:00:00,74,Silver,Technical,Phone,Seoul,68767,61,2,88,4.5,1,6.7,Medium
TK-260282,2025-07-11 08:00:00,75,Basic,Account,Phone,Busan,46777,61,2,32,4.2,0,4.8,Medium
TK-260283,2025-11-26 02:00:00,55,VIP,Technical,Chat,Daejeon,238168,18,2,101,2.9,0,5.0,Medium
TK-260284,2025-03-27 06:00:00,38,Gold,Technical,App,Incheon,126278,86,0,32,3.9,0,12.4,Low
TK-260285,2025-04-09 16:00:00,58,Gold,Cancellation,Chat,Seoul,122045,21,1,142,4.1,0,4.0,Low
TK-260286,2025-02-12 04:00:00,53,Gold,Account,Chat,Daegu,114759,31,4,89,3.4,0,2.1,Low
TK-260287,2026-05-15 00:00:00,47,Basic,Delivery,Phone,Daegu,32970,83,0,47,3.3,0,2.2,Medium
TK-260288,2025-04-08 22:00:00,48,Gold,Technical,Chat,Daegu,110353,33,2,103,3.1,1,7.3,Medium
TK-260289,2025-04-08 00:00:00,61,Gold,Account,Chat,Seoul,158753,48,2,62,3.8,0,5.7,Low
TK-260290,2025-04-10 03:00:00,25,Silver,Delivery,Chat,Daejeon,97109,20,6,80,4.0,0,2.7,Low
TK-260291,2025-09-10 18:00:00,43,Silver,Account,App,Busan,81331,56,5,112,4.9,1,3.4,Medium
TK-260292,2025-01-13 20:00:00,69,VIP,Payment,App,Seoul,216325,25,4,49,2.8,0,4.4,Medium
TK-260293,2025-08-09 22:00:00,34,Basic,Account,App,Busan,60490,6,0,35,2.4,1,1.1,Low
TK-260294,2026-01-10 16:00:00,72,Basic,Payment,Chat,Busan,22211,7,4,2,4.0,2,3.4,Medium
TK-260295,2026-05-15 22:00:00,54,Silver,Technical,Email,Incheon,103490,64,0,48,3.9,2,6.8,Medium
TK-260296,2025-09-03 13:00:00,38,Silver,Technical,Phone,Incheon,98352,12,8,114,4.6,0,4.6,Low
TK-260297,2025-05-05 05:00:00,24,Basic,Delivery,App,Daegu,53036,33,0,63,3.8,1,7.2,Medium
TK-260298,2026-01-02 08:00:00,36,Silver,Cancellation,Phone,Seoul,97716,8,6,102,5.0,2,4.3,High
TK-260299,2025-02-11 07:00:00,25,Silver,Payment,App,Seoul,81768,46,5,65,5.0,0,9.4,Low
TK-260300,2026-03-22 18:00:00,74,Silver,Account,App,Seoul,55451,29,2,75,4.5,0,11.6,Medium
TK-260301,2026-02-23 18:00:00,54,VIP,Cancellation,Email,Daegu,232818,12,5,162,4.2,0,13.9,High
TK-260302,2025-06-24 07:00:00,53,Basic,Delivery,Email,Seoul,20513,22,6,47,3.9,0,4.4,High
TK-260303,2025-05-14 03:00:00,59,Silver,Technical,Phone,Seoul,,37,4,71,3.7,1,11.6,Low
TK-260304,2026-01-01 10:00:00,44,Basic,Cancellation,Chat,Seoul,34618,79,1,64,2.8,0,5.9,Medium
TK-260305,2026-03-17 11:00:00,48,Basic,Cancellation,Phone,Seoul,55570,76,8,67,2.7,0,1.9,Medium
TK-260306,2025-08-22 16:00:00,46,Gold,Technical,Chat,Incheon,114433,27,4,48,4.0,0,2.2,Medium
TK-260307,2026-02-17 16:00:00,65,Silver,Delivery,Chat,Seoul,87201,7,5,88,,1,22.0,Medium
TK-260308,2025-02-07 08:00:00,33,Silver,Technical,Email,Daegu,78652,75,6,84,4.3,0,4.1,Medium
TK-260309,2025-07-14 07:00:00,49,Gold,Payment,Email,Seoul,147962,15,1,8,4.4,0,8.4,Low
TK-260310,2026-05-18 10:00:00,52,Basic,Account,Phone,Seoul,48176,3,6,71,4.0,1,3.7,Medium
TK-260311,2026-07-13 23:00:00,32,VIP,Account,Chat,Seoul,228018,15,2,12,1.2,0,1.2,Low
TK-260312,2025-03-21 04:00:00,31,Silver,Cancellation,Email,Busan,75669,93,6,55,3.9,0,2.7,Low
TK-260313,2025-04-22 03:00:00,64,Basic,Cancellation,Chat,Daegu,60791,92,1,69,3.6,0,8.0,Medium
TK-260314,2025-05-24 18:00:00,28,Basic,Account,Chat,Seoul,44708,26,5,42,3.7,1,6.5,Medium
TK-260315,2025-04-17 08:00:00,19,Basic,Technical,App,Busan,57237,26,7,43,4.4,0,3.5,High
TK-260316,2025-03-11 23:00:00,33,Gold,Delivery,Chat,Seoul,119059,54,3,11,2.1,1,2.1,Medium
TK-260317,2026-06-08 22:00:00,41,Gold,Payment,Email,Seoul,113093,29,0,43,3.2,0,9.2,High
TK-260318,2025-05-17 04:00:00,45,Silver,Payment,Phone,Busan,104325,5,4,52,3.9,4,7.3,High
TK-260319,2026-02-01 20:00:00,57,Basic,Payment,Phone,Daegu,68145,16,5,46,2.4,0,3.8,Medium
TK-260320,2026-03-05 21:00:00,66,Silver,Technical,Email,Seoul,71967,60,6,119,3.2,0,10.1,Medium
TK-260321,2025-01-21 14:00:00,33,Silver,Technical,Chat,Seoul,90503,63,4,35,4.6,0,3.7,High
TK-260322,2025-08-07 07:00:00,40,Basic,Account,Email,Busan,37979,71,1,79,4.2,0,12.5,Medium
TK-260323,2025-04-10 06:00:00,53,Gold,Technical,Phone,Daejeon,157714,40,7,35,2.2,1,7.2,Low
TK-260324,2025-08-31 22:00:00,69,Basic,Technical,Chat,Daejeon,48744,58,4,66,2.5,1,12.4,Low
TK-260325,2025-07-23 07:00:00,20,Silver,Delivery,Email,Daejeon,58424,85,0,48,3.7,2,8.1,Medium
TK-260326,2026-04-24 05:00:00,75,VIP,Payment,App,Seoul,241401,88,0,66,3.7,0,2.6,Medium
TK-260327,2026-01-02 09:00:00,76,Basic,Technical,Chat,Busan,48299,22,0,71,3.6,4,11.7,Medium
TK-260328,2026-05-10 13:00:00,30,Basic,Payment,App,Seoul,54000,22,0,54,4.4,0,7.7,Medium
TK-260329,2026-04-24 14:00:00,44,Silver,Cancellation,App,Seoul,71007,67,0,160,3.8,0,6.8,Low
TK-260330,2025-05-18 13:00:00,39,Basic,Technical,Phone,Busan,,73,3,117,3.6,0,7.2,Medium
TK-260331,2026-01-21 16:00:00,58,Basic,Payment,Chat,Daegu,64708,77,3,73,3.4,0,4.7,Low
TK-260332,2025-03-10 02:00:00,51,Basic,Delivery,Phone,Daegu,69595,57,3,46,3.0,0,12.4,Medium
TK-260333,2026-02-03 13:00:00,42,Basic,Account,Phone,Seoul,34073,75,7,2,3.7,0,4.0,Low
TK-260334,2026-02-03 16:00:00,60,Silver,Account,App,Busan,67078,28,0,27,3.1,0,4.8,Low
TK-260335,2025-05-28 22:00:00,59,Silver,Technical,Phone,Seoul,57794,36,4,93,4.1,0,7.7,Medium
TK-260336,2026-04-17 05:00:00,23,Silver,Delivery,Email,Seoul,92970,58,4,56,3.5,3,7.9,Medium
TK-260337,2025-04-01 07:00:00,54,Gold,Payment,App,Busan,132482,29,0,88,3.9,1,10.5,Medium
TK-260338,2026-02-27 09:00:00,18,Silver,Payment,Phone,Seoul,77918,76,2,62,4.8,0,4.2,Low
TK-260339,2025-04-17 18:00:00,56,Silver,Payment,Phone,Incheon,83497,7,6,10,3.9,2,10.9,Medium
TK-260340,2025-12-31 22:00:00,19,Basic,Delivery,Email,Seoul,63770,27,4,41,4.6,0,10.8,Medium
TK-260341,2025-11-22 12:00:00,28,Silver,Technical,Chat,Incheon,67416,28,4,50,3.7,0,8.7,Low
TK-260342,2025-05-17 16:00:00,53,Gold,Payment,Chat,Incheon,107633,9,4,71,3.4,1,3.0,Medium
TK-260343,2026-07-23 14:00:00,68,Gold,Account,App,Seoul,146118,22,0,68,4.0,0,7.0,Low
TK-260344,2025-10-24 08:00:00,28,Gold,Delivery,Phone,Daegu,133138,37,9,33,3.4,0,4.7,High
TK-260345,2025-02-03 13:00:00,22,Basic,Payment,Email,Busan,39105,26,3,36,3.5,3,6.4,High
TK-260346,2026-02-20 00:00:00,57,VIP,Technical,Chat,Incheon,203592,43,5,100,1.7,0,7.3,High
TK-260347,2025-07-20 01:00:00,26,VIP,Payment,Chat,Busan,232411,23,1,41,4.2,2,8.9,Low
TK-260348,2025-12-25 18:00:00,62,Silver,Account,Email,Busan,106525,37,2,50,4.4,0,5.5,Low
TK-260349,2025-07-26 15:00:00,51,Basic,Account,Chat,Seoul,41582,94,1,30,4.3,1,1.8,Medium
TK-260350,2025-12-29 02:00:00,74,Gold,Payment,Chat,Seoul,158577,72,7,40,5.0,0,6.1,Medium
TK-260351,2025-12-07 21:00:00,31,Silver,Technical,Phone,Seoul,104753,65,6,123,2.7,0,5.9,Low
TK-260352,2026-01-27 20:00:00,70,Basic,Cancellation,Chat,Incheon,62248,34,3,91,4.0,3,9.0,High
TK-260353,2025-09-25 03:00:00,52,Gold,Account,Chat,Seoul,140011,37,12,22,4.4,0,6.0,Medium
TK-260354,2025-04-17 09:00:00,38,Basic,Technical,Chat,Seoul,60354,45,0,97,2.8,0,2.5,Low
TK-260355,2025-05-31 21:00:00,53,Gold,Delivery,Chat,Seoul,123322,14,2,2,4.6,1,2.7,Medium
TK-260356,2025-10-29 20:00:00,72,Silver,Account,Phone,Incheon,73484,13,3,54,3.6,0,2.4,Medium
TK-260357,2025-09-27 09:00:00,39,Silver,Payment,Email,Daejeon,56499,56,0,63,3.1,0,12.0,Medium
TK-260358,2025-12-05 00:00:00,58,Basic,Delivery,,Seoul,46937,3,3,13,4.2,0,3.3,Low
TK-260359,2026-07-12 00:00:00,75,VIP,Technical,App,Seoul,216826,73,2,65,1.5,0,12.8,Medium
TK-260360,2026-06-06 15:00:00,74,Silver,Technical,App,Busan,73111,91,5,88,2.8,0,14.9,Low
TK-260361,2025-08-29 20:00:00,42,Silver,Delivery,Phone,Busan,60857,25,2,16,2.6,0,6.1,High
TK-260362,2026-06-06 08:00:00,54,Basic,Technical,Phone,Busan,59787,78,4,67,3.1,1,5.1,Medium
TK-260363,2026-02-26 06:00:00,43,Gold,Cancellation,Phone,Seoul,153545,39,5,85,3.7,0,4.5,Medium
TK-260364,2025-06-16 01:00:00,52,Gold,Cancellation,Chat,Incheon,130798,63,5,100,4.3,1,3.2,Low
TK-260365,2026-02-17 13:00:00,26,Basic,Account,Email,Seoul,28597,7,3,57,2.9,0,5.2,Medium
TK-260366,2025-05-16 12:00:00,64,Silver,Technical,Chat,Seoul,83295,31,5,132,2.8,0,8.7,Low
TK-260367,2026-04-15 05:00:00,26,Basic,Technical,Chat,Daejeon,69457,36,6,66,4.4,1,3.4,Medium
TK-260368,2025-02-23 21:00:00,73,Basic,Cancellation,Email,Daejeon,,48,0,174,3.1,0,8.1,High
TK-260369,2025-01-05 11:00:00,18,Silver,Account,Phone,Daegu,83509,46,7,32,4.7,0,5.1,Low
TK-260370,2025-06-22 07:00:00,39,Gold,Delivery,App,Incheon,121850,77,6,60,3.7,0,1.8,Medium
TK-260371,2026-06-08 08:00:00,22,Silver,Cancellation,Email,Daegu,59246,24,4,94,3.5,0,7.6,Medium
TK-260372,2025-08-02 18:00:00,63,Gold,Cancellation,Phone,Busan,146681,82,3,63,3.5,0,7.7,Medium
TK-260373,2025-05-22 17:00:00,37,Basic,Payment,Email,Seoul,22084,23,6,57,4.3,3,4.9,Medium
TK-260374,2026-06-19 11:00:00,38,Gold,Technical,App,Incheon,122194,54,0,143,3.8,0,10.5,Low
TK-260375,2025-04-10 21:00:00,37,Basic,Technical,Email,Busan,51464,24,6,93,4.1,0,7.4,Low
TK-260376,2025-09-22 06:00:00,28,Silver,Account,Chat,Daejeon,57755,75,5,62,3.4,1,4.5,Low
TK-260377,2025-07-23 23:00:00,63,Basic,Delivery,Email,Seoul,23109,85,2,77,3.2,0,7.4,Low
TK-260378,2026-04-15 12:00:00,44,Basic,Technical,Phone,Seoul,48004,64,5,64,5.0,0,4.0,Medium
TK-260379,2025-01-18 11:00:00,23,Silver,Technical,Phone,Busan,,68,3,129,4.4,0,4.9,Medium
TK-260380,2025-02-08 16:00:00,38,Silver,Technical,Email,Busan,89823,18,5,133,2.2,0,5.3,Low
TK-260381,2025-09-01 16:00:00,41,Basic,Account,App,Incheon,28707,94,2,11,4.4,1,5.2,Medium
TK-260382,2026-06-28 09:00:00,66,Gold,Cancellation,Email,Incheon,118033,76,1,86,4.4,0,7.6,Low
TK-260383,2026-03-24 03:00:00,67,VIP,Delivery,Phone,Seoul,214590,65,3,99,2.0,0,11.7,Medium
TK-260384,2026-03-21 20:00:00,27,Silver,Technical,Chat,Seoul,74572,92,8,86,3.3,0,5.1,Medium
TK-260385,2025-08-23 09:00:00,64,Silver,Delivery,Chat,Busan,55929,70,7,63,2.7,2,2.9,Medium
TK-260386,2026-01-13 01:00:00,72,Basic,Technical,Chat,Daegu,36367,33,2,122,3.8,2,6.7,Medium
TK-260387,2025-06-19 03:00:00,46,Basic,Account,Chat,Daegu,72287,60,0,106,3.4,0,6.7,Low
TK-260388,2025-07-15 04:00:00,54,Gold,Delivery,Phone,Busan,147479,63,0,1050,2.9,2,3.6,Medium
TK-260389,2025-06-13 01:00:00,29,Basic,Payment,Phone,Daegu,69951,85,1,68,3.1,3,2.8,Low
TK-260390,2025-09-28 17:00:00,19,Silver,Account,Chat,Daegu,74363,71,0,76,4.0,0,3.6,Low
TK-260391,2025-12-05 01:00:00,42,Gold,Technical,Email,Daejeon,118054,84,5,123,3.3,0,3.7,Low
TK-260392,2025-12-08 22:00:00,65,Gold,Technical,Phone,Daegu,146208,94,4,110,2.8,1,11.6,Medium
TK-260393,2025-06-16 12:00:00,39,Basic,Payment,Phone,Daegu,24582,60,2,2,3.4,0,6.2,Low
TK-260394,2026-02-08 05:00:00,22,Silver,Payment,Chat,Seoul,59779,24,9,49,3.5,0,10.1,Medium
TK-260395,2025-05-12 06:00:00,62,VIP,Technical,Phone,Incheon,235627,48,2,94,3.9,1,6.8,Medium
TK-260396,2025-10-17 09:00:00,19,Silver,Technical,Email,Seoul,90790,76,6,132,3.6,0,7.2,Low
TK-260397,2025-10-08 19:00:00,48,Basic,Delivery,Email,Incheon,65475,86,7,49,3.6,0,3.6,Medium
TK-260398,2025-12-06 07:00:00,31,Silver,Account,Chat,Seoul,83236,79,0,99,4.1,2,8.3,Low
TK-260399,2025-08-30 15:00:00,20,Basic,Delivery,Chat,Daegu,35334,1,2,27,3.8,1,12.8,Medium
TK-260400,2025-02-19 08:00:00,66,Basic,Delivery,Phone,Seoul,42145,79,6,105,4.1,1,4.8,Medium
TK-260401,2026-07-08 13:00:00,62,Gold,Delivery,App,Seoul,129004,29,3,112,3.0,0,6.1,Medium
TK-260402,2026-04-18 12:00:00,75,Gold,Payment,Chat,Incheon,117375,63,2,59,2.0,1,11.4,Low
TK-260403,2025-09-03 04:00:00,54,Silver,Account,Phone,Busan,76704,76,3,91,3.4,0,3.0,Low
TK-260404,2026-03-16 04:00:00,19,Basic,Payment,Phone,Daegu,64441,50,1,45,3.3,1,3.5,Low
TK-260405,2025-04-01 01:00:00,54,Silver,Delivery,Chat,Seoul,65892,13,2,56,3.6,0,7.3,Low
TK-260406,2025-05-15 21:00:00,29,Gold,Payment,Email,Busan,118956,92,7,48,4.4,1,4.9,Medium
TK-260407,2026-01-13 18:00:00,72,Silver,Technical,Chat,Daegu,71325,39,6,95,4.1,1,9.4,Medium
TK-260408,2025-06-04 18:00:00,45,Gold,Payment,Phone,Daegu,134609,38,6,47,4.1,0,11.5,Medium
TK-260409,2025-11-06 16:00:00,22,Gold,Cancellation,Chat,Seoul,142047,21,6,111,3.8,0,6.3,Low
TK-260410,2025-06-17 13:00:00,46,Basic,Account,Chat,Incheon,42752,93,0,96,3.2,0,3.1,Medium
TK-260411,2025-12-17 18:00:00,19,Silver,Technical,Chat,Seoul,105553,54,2,40,3.7,1,6.1,Low
TK-260412,2026-01-01 06:00:00,41,Basic,Account,Email,Incheon,21136,54,1,73,3.8,0,1.5,High
TK-260413,2025-10-21 06:00:00,56,Gold,Technical,Email,Seoul,126532,84,0,81,4.4,1,7.7,High
TK-260414,2026-06-27 20:00:00,47,Gold,Delivery,Phone,Seoul,112259,44,2,5,3.8,1,5.7,Medium
TK-260415,2025-05-13 08:00:00,66,Basic,Delivery,App,Seoul,40690,33,2,87,3.1,0,3.0,Medium
TK-260416,2025-05-18 20:00:00,36,Silver,Technical,Email,Incheon,62108,11,1,81,1.7,0,6.9,Medium
TK-260417,2026-06-25 04:00:00,51,Gold,Account,App,Busan,154066,43,4,31,3.0,0,2.8,Medium
TK-260418,2025-08-10 03:00:00,51,Silver,Delivery,Phone,Seoul,92400,25,1,46,4.2,0,4.5,Medium
TK-260419,2025-10-29 11:00:00,23,Basic,Technical,Chat,Daegu,36766,94,5,108,4.3,2,8.2,Low
TK-260420,2026-07-12 18:00:00,28,Gold,Technical,App,Seoul,,81,3,43,3.6,1,8.3,Medium
TK-260421,2025-04-26 11:00:00,57,Basic,Payment,Phone,Seoul,34880,14,1,39,4.4,0,16.8,Medium
TK-260422,2026-01-14 21:00:00,56,Silver,Delivery,App,Daegu,88505,86,3,83,3.6,0,6.4,Low
TK-260423,2025-12-31 13:00:00,53,Gold,Delivery,App,Daegu,143602,12,3,80,3.3,0,2.8,Medium
TK-260424,2026-03-01 23:00:00,23,VIP,Technical,Email,Seoul,214351,70,0,78,2.9,3,6.7,High
TK-260425,2026-07-13 09:00:00,25,Silver,Account,,Daejeon,80155,10,7,71,3.0,2,1.3,Medium
TK-260426,2025-08-23 18:00:00,74,Silver,Technical,Phone,Seoul,79514,51,3,66,2.9,0,5.7,Medium
TK-260427,2025-10-22 15:00:00,44,Gold,Account,Email,Daejeon,111755,16,5,61,4.4,2,11.2,Medium
TK-260428,2025-05-21 02:00:00,46,Silver,Technical,Email,Seoul,74906,69,5,172,3.0,1,5.3,Medium
TK-260429,2026-03-06 12:00:00,74,Silver,Payment,Chat,Daejeon,72990,12,4,34,2.7,0,6.7,Medium
TK-260430,2025-05-27 03:00:00,61,Silver,Cancellation,Chat,Incheon,77191,59,5,87,3.0,0,7.2,Medium
TK-260431,2025-10-27 07:00:00,64,Gold,Payment,App,Incheon,115230,4,4,69,,0,4.3,Low
TK-260432,2025-03-10 15:00:00,55,Basic,Technical,Phone,Busan,31920,77,3,90,3.4,0,9.0,Medium
TK-260433,2025-03-09 17:00:00,54,Basic,Payment,,Daegu,43912,24,3,70,3.7,0,4.5,Medium
TK-260434,2026-03-01 03:00:00,46,Silver,Technical,Chat,Seoul,74541,10,2,108,4.4,2,8.5,Medium
TK-260435,2026-04-14 10:00:00,56,VIP,Technical,Chat,Daegu,221712,54,9,71,3.4,0,5.5,Medium
TK-260436,2025-10-19 20:00:00,62,Basic,Technical,,Seoul,31046,30,0,78,2.2,0,6.6,High
TK-260437,2025-08-07 01:00:00,66,Silver,Payment,Chat,Incheon,101298,22,2,52,3.2,0,8.2,Medium
TK-260438,2025-09-15 18:00:00,67,Basic,Technical,Phone,Busan,23202,21,1,99,4.2,1,6.0,Medium
TK-260439,2025-12-21 14:00:00,50,Basic,Payment,Email,Seoul,53360,77,5,47,2.7,0,9.0,Medium
TK-260440,2025-12-16 16:00:00,52,Basic,Delivery,Chat,Busan,65298,14,4,61,3.4,0,12.5,Medium
TK-260441,2025-03-22 17:00:00,33,Gold,Delivery,Chat,Busan,158289,10,0,55,3.3,2,6.9,Medium
TK-260442,2026-02-07 18:00:00,20,Basic,Payment,Email,Busan,23859,8,2,99,5.0,1,14.4,Low
TK-260443,2025-09-14 16:00:00,74,Basic,Technical,Email,Daegu,60622,52,1,49,3.4,1,1.7,Medium
TK-260444,2026-07-03 19:00:00,73,Silver,Cancellation,Phone,Incheon,76618,35,8,58,4.9,0,3.4,Low
TK-260445,2025-05-28 05:00:00,73,Gold,Payment,Email,Seoul,134756,61,4,91,3.7,2,4.9,High
TK-260446,2025-03-27 12:00:00,61,Gold,Cancellation,Phone,Daejeon,134598,61,2,95,3.4,0,3.4,High
TK-260447,2026-05-04 22:00:00,24,Basic,Account,Phone,Seoul,47169,1,6,93,2.7,2,4.7,Medium
TK-260448,2026-05-06 17:00:00,36,Basic,Technical,Email,Busan,54345,29,7,57,3.2,0,4.3,Medium
TK-260449,2025-06-04 17:00:00,29,Silver,Payment,Chat,Seoul,77575,81,4,71,4.1,2,11.6,Medium
TK-260450,2026-06-05 07:00:00,58,Gold,Delivery,App,Seoul,141434,78,5,38,3.4,2,1.3,Medium
TK-260451,2026-03-17 05:00:00,57,Basic,Technical,Chat,Seoul,64011,78,1,98,2.4,0,3.1,Medium
TK-260452,2025-08-15 01:00:00,46,Basic,Account,App,Daejeon,57810,73,1,103,4.0,0,5.9,Medium
TK-260453,2025-01-19 00:00:00,65,Gold,Account,Phone,Seoul,154685,69,1,114,3.6,2,4.0,Medium
TK-260454,2025-05-01 21:00:00,51,Basic,Technical,Email,Busan,55025,9,2,77,4.3,0,2.6,Medium
TK-260455,2025-07-18 17:00:00,63,Gold,Payment,Phone,Daejeon,114591,9,4,80,3.3,1,4.0,Low
TK-260456,2025-01-23 10:00:00,47,Basic,Cancellation,Chat,Daejeon,53125,17,5,78,2.6,0,10.4,Medium
TK-260457,2025-04-04 11:00:00,41,Gold,Payment,App,Seoul,150828,19,7,32,3.7,0,2.0,Medium
TK-260458,2026-04-06 13:00:00,27,Basic,Account,Email,Daejeon,59594,23,0,65,3.0,2,6.0,Medium
TK-260459,2025-12-20 02:00:00,38,Basic,Account,Email,Seoul,55667,73,1,80,4.0,0,8.6,Medium
TK-260460,2025-08-13 13:00:00,50,Silver,Payment,Phone,Seoul,63068,18,6,86,3.4,0,7.2,Medium
TK-260461,2025-04-03 14:00:00,39,Basic,Technical,Phone,Seoul,53190,42,2,60,3.9,0,16.3,Medium
